input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 134 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 125 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 268 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 251 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 536 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 502 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 341 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 320 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 683 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 641 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 1367 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 1282 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 690 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 647 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 1380 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 1294 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 2761 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 2588 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 2778 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 2604 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 5557 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 5209 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 11114 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 10419 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 134 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 125 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 268 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 251 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 536 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 20, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 502 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 341 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 320 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 683 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 641 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 1367 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 50, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 1282 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 690 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 647 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 1380 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 1294 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 2761 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 100, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 2588 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 2778 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 2604 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 5557 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 5209 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 11114 Mbps
input - numerology: 0, modulation_order: 23, bandwidth: 400, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 10419 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 8 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 7 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 16 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 15 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 32 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 30 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 20 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 19 Mbps
